date,A005930,A000660,A035720,A035420,A114800
2013-05-07,29860.0,28600.0,18640.0,92783.568,7725.0
2013-05-08,29760.0,28550.0,18360.0,94194.12900000002,7740.0
2013-05-09,30300.0,29050.0,18120.0,90432.63300000002,7610.0
2013-05-10,29520.0,29100.0,18000.0,91059.549,7795.0
2013-05-13,29540.0,29100.0,17500.0,91529.73600000002,7770.0
2013-05-14,30000.0,29500.0,17300.0,90589.36200000002,7675.0
2013-05-15,30000.0,29750.0,17200.0,91843.19400000002,7675.0
2013-05-16,30160.0,30050.0,17560.0,98739.27000000002,7595.0
2013-05-20,29940.0,30700.0,17720.0,98112.35400000002,7605.0
2013-05-21,29840.0,30600.0,17700.0,99993.10200000004,7610.0
2013-05-22,30180.0,31300.0,17520.0,99366.18600000002,7565.0
2013-05-23,29680.0,31400.0,17060.0,96858.52200000004,7670.0
2013-05-24,29720.0,31400.0,16980.0,98112.35400000002,7655.0
2013-05-27,29780.0,31400.0,16600.0,97798.89600000002,7625.0
2013-05-28,29680.0,31400.0,16720.0,98739.27000000002,7595.0
2013-05-29,30240.0,32000.0,17240.0,99679.64400000004,7535.0
2013-05-30,30880.0,31850.0,17140.0,96231.606,7535.0
2013-05-31,30760.0,32200.0,17060.0,95604.69000000002,7515.0
2013-06-03,30640.0,31900.0,16620.0,93410.48400000004,7550.0
2013-06-04,30800.0,32250.0,16660.0,91686.46500000004,7575.0
2013-06-05,30420.0,31150.0,16239.999999999998,92783.568,7670.0
2013-06-07,28540.0,31100.0,15819.999999999998,90902.82000000002,7850.0
2013-06-10,28500.0,32650.0,16139.999999999998,92470.11000000002,7810.0
2013-06-11,27780.0,32500.0,15959.999999999998,94350.85800000002,7865.0
2013-06-12,27700.0,32350.0,16379.999999999998,91686.46500000004,7930.0
2013-06-13,27140.0,32050.0,16400.0,87611.51100000001,8040.0
2013-06-14,27380.0,31500.0,16580.0,88081.69800000002,8060.0
2013-06-17,27320.0,30450.0,16219.999999999998,87924.96900000003,8055.0
2013-06-18,27740.0,31750.0,16279.999999999998,89962.44600000003,8000.0
2013-06-19,27380.0,31900.0,16359.999999999998,87611.51100000001,8025.0
2013-06-20,26580.0,31050.0,16279.999999999998,84790.38900000002,8235.0
2013-06-21,26500.0,30800.0,16299.999999999998,86200.95000000003,8360.0
2013-06-24,26260.0,29750.0,16359.999999999998,84947.11800000003,8445.0
2013-06-25,25940.0,29500.0,16239.999999999998,84476.93100000003,8480.0
2013-06-26,25220.0,30250.0,15659.999999999998,86514.40800000002,8515.0
2013-06-27,26780.0,30650.0,15859.999999999998,86827.86600000002,8265.0
2013-06-28,26840.0,31200.0,15779.999999999998,91059.549,8155.0
2013-07-01,26520.0,31550.0,15999.999999999998,90902.82000000002,8165.0
2013-07-02,26700.0,28800.0,16460.0,91843.19400000002,8165.0
2013-07-03,26020.0,28750.0,16460.0,91373.00700000004,8325.0
2013-07-04,26340.0,28750.0,16680.0,91059.549,8260.0
2013-07-05,25340.0,28400.0,16720.0,90275.90400000002,8290.0
2013-07-08,24520.0,27800.0,16800.0,91059.549,8375.0
2013-07-09,24740.0,28350.0,16800.0,92626.83900000002,8300.0
2013-07-10,24960.0,27500.0,16820.0,87768.24000000003,8365.0
2013-07-11,26240.0,28400.0,16820.0,90902.82000000002,8070.0
2013-07-12,26240.0,28500.0,16680.0,90902.82000000002,8125.0
2013-07-15,26260.0,28450.0,16720.0,89805.71700000002,8105.0
2013-07-16,25960.0,28450.0,16740.0,91686.46500000004,8140.0
2013-07-17,26400.0,28600.0,16780.0,91843.19400000002,8055.0
2013-07-18,25840.0,29200.0,16760.0,90275.90400000002,8120.0
2013-07-19,25460.0,28400.0,17140.0,88708.61400000002,8135.0
2013-07-22,25460.0,28000.0,17520.0,86984.59500000003,8100.0
2013-07-23,26140.0,28200.0,17520.0,88865.34300000002,7995.0
2013-07-24,26300.0,28550.0,17420.0,86514.40800000002,7960.0
2013-07-25,26300.0,28600.0,17360.0,87768.24000000003,7960.0
2013-07-26,26060.0,28150.0,17660.0,94350.85800000002,7945.0
2013-07-29,25660.0,27000.0,17500.0,91999.92300000002,7985.0
2013-07-30,25800.0,27100.0,17540.0,91999.92300000002,7915.0
2013-07-31,25600.0,27200.0,17540.0,91999.92300000002,7935.0
2013-08-01,25600.0,27400.0,17540.0,91999.92300000002,7925.0
2013-08-02,25720.0,27450.0,17560.0,91999.92300000002,7890.0
2013-08-05,25480.0,27400.0,17640.0,91999.92300000002,7935.0
2013-08-06,25080.0,27550.0,17720.0,91999.92300000002,8010.0
2013-08-07,24440.0,26550.0,17880.0,91999.92300000002,8135.0
2013-08-08,24340.0,26200.0,17900.0,91999.92300000002,8115.0
2013-08-09,24600.0,26650.0,17840.0,91999.92300000002,8110.0
2013-08-12,24640.0,27000.0,17200.0,91999.92300000002,8095.0
2013-08-13,25800.0,28300.0,17360.0,91999.92300000002,7970.0
2013-08-14,26000.0,29150.0,17220.0,91999.92300000002,7920.0
2013-08-16,25900.0,28700.0,17460.0,91999.92300000002,7930.0
2013-08-19,25720.0,28550.0,17600.0,91999.92300000002,7935.0
2013-08-20,25380.0,28500.0,17600.0,91999.92300000002,8055.0
2013-08-21,25120.0,28200.0,17600.0,91999.92300000002,8150.0
2013-08-22,25100.0,28050.0,17500.0,91999.92300000002,8230.0
2013-08-23,25900.0,28500.0,17720.0,91999.92300000002,8130.0
2013-08-26,26000.0,28350.0,17540.0,91999.92300000002,8050.0
2013-08-27,26080.0,27950.0,17460.0,91999.92300000002,8065.0
